datetime,value_1,value_2,value_3
2022-06-13 17:30:00,1647.0400390625,112.90000152588,104
2022-06-13 17:45:00,1510.8800048828,105.30000305176,109
2022-06-13 18:00:00,1645.7600097656,85.599998474121,105
2022-06-13 18:15:00,1822.2399902344,90.099998474121,75
2022-06-13 18:30:00,1224.8000488281,103.19999694824,107
2022-06-13 18:45:00,1028.8000488281,102,102
2022-06-13 19:00:00,1266.0799560547,83.599998474121,88
2022-06-13 19:15:00,1712.8000488281,86,82
2022-06-13 19:30:00,1441.7600097656,97.5,97
2022-06-13 19:45:00,1633.9200439453,94.400001525879,95
2022-06-13 20:00:00,1710.8800048828,95.599998474121,102
2022-06-13 20:15:00,1402.0799560547,91.599998474121,90
2022-06-13 20:30:00,1439.0400390625,96.300003051758,99
2022-06-13 20:45:00,1561.5999755859,80.599998474121,90
2022-06-13 21:00:00,1653.9200439453,79.5,77
2022-06-13 21:15:00,1705.7600097656,89.199996948242,93
2022-06-13 21:30:00,1636,97.599998474121,96
2022-06-13 21:45:00,1602.4000244141,127.90000152588,103
2022-06-13 22:00:00,1502.4000244141,102.90000152588,123
2022-06-13 22:15:00,1568.4799804688,124,123
2022-06-13 22:30:00,1498.2399902344,127,119
2022-06-13 22:45:00,1629.5999755859,119.40000152588,115
2022-06-13 23:00:00,1613.9200439453,132.80000305176,112
2022-06-13 23:15:00,1453.7600097656,120.09999847412,128
2022-06-13 23:30:00,1180.9599609375,90,108
2022-06-13 23:45:00,1198.4000244141,81.599998474121,81
2022-06-14 00:00:00,784.15997314453,69.800003051758,82
2022-06-14 00:15:00,847.20001220703,51.099998474121,71
2022-06-14 00:30:00,945.11999511719,57.599998474121,51
2022-06-14 00:45:00,840.32000732422,51.900001525879,53
2022-06-14 01:00:00,923.84002685547,52.099998474121,53
2022-06-14 01:15:00,867.35998535156,50,46
2022-06-14 01:30:00,781.28002929688,51.599998474121,54
2022-06-14 01:45:00,758.23999023438,47.599998474121,51
2022-06-14 02:00:00,698.08001708984,46.599998474121,45
2022-06-14 02:15:00,752.64001464844,46.900001525879,49
2022-06-14 02:30:00,733.91998291016,45.099998474121,43
2022-06-14 02:45:00,741.76000976562,46.400001525879,48
2022-06-14 03:00:00,828.79998779297,51,48
2022-06-14 03:15:00,813.11999511719,45.900001525879,44
2022-06-14 03:30:00,853.28002929688,46,47
2022-06-14 03:45:00,770.40002441406,46.299999237061,48
2022-06-14 04:00:00,873.76000976562,45.5,43
2022-06-14 04:15:00,916.15997314453,45.5,49
2022-06-14 04:30:00,906.40002441406,47.299999237061,49
2022-06-14 04:45:00,904.32000732422,47.900001525879,45
2022-06-14 05:00:00,1127.5200195312,50,51
2022-06-14 05:15:00,1628.1600341797,55.299999237061,50
2022-06-14 05:30:00,1321.9200439453,57.599998474121,56
2022-06-14 05:45:00,1524.4799804688,49.700000762939,56
2022-06-14 06:00:00,1830.4000244141,57.799999237061,50
2022-06-14 06:15:00,1476.4799804688,60,60
2022-06-14 06:30:00,1552.8000488281,67.099998474121,69
2022-06-14 06:45:00,1553.1199951172,68,64
2022-06-14 07:00:00,1831.6800537109,87.900001525879,87
2022-06-14 07:15:00,1807.0400390625,100.30000305176,100
2022-06-14 07:30:00,1692.8000488281,99.199996948242,95
2022-06-14 07:45:00,1708.6400146484,99.599998474121,107
2022-06-14 08:00:00,1612.6400146484,99.300003051758,95
2022-06-14 08:15:00,1793.2800292969,101.19999694824,105
2022-06-14 08:30:00,1794.7199707031,99.300003051758,110
2022-06-14 08:45:00,1792.3199462891,102.80000305176,101
2022-06-14 09:00:00,1765.7600097656,101,108
2022-06-14 09:15:00,1634.5600585938,101.5,105
2022-06-14 09:30:00,1654.0799560547,99.800003051758,99
2022-06-14 09:45:00,1765.7600097656,100.69999694824,106
2022-06-14 10:00:00,1861.2800292969,112.90000152588,101
2022-06-14 10:15:00,1840.9599609375,108.09999847412,113
2022-06-14 10:30:00,1767.5200195312,106.5,111
2022-06-14 10:45:00,1769.2800292969,113.5,101
2022-06-14 11:00:00,1707.1999511719,103.5,112
2022-06-14 11:15:00,1699.3599853516,113.5,121
2022-06-14 11:30:00,1630.2399902344,103.09999847412,107
2022-06-14 11:45:00,1688.9599609375,112.40000152588,111
2022-06-14 12:00:00,1838.2399902344,100.80000305176,101
2022-06-14 12:15:00,1856.9599609375,113.30000305176,110
2022-06-14 12:30:00,1779.1999511719,103.30000305176,108
2022-06-14 12:45:00,1703.8399658203,118.40000152588,109
2022-06-14 13:00:00,1675.8399658203,112.40000152588,111
2022-06-14 13:15:00,1761.5999755859,114.30000305176,116
2022-06-14 13:30:00,1620.6400146484,115.80000305176,111
2022-06-14 13:45:00,1695.1999511719,126,125
2022-06-14 14:00:00,1677.2800292969,122.5,105
2022-06-14 14:15:00,1736.3199462891,98.900001525879,119
2022-06-14 14:30:00,1809.1199951172,128.5,123
2022-06-14 14:45:00,1782.8800048828,122.80000305176,113
2022-06-14 15:00:00,1874.2399902344,111.5,119
2022-06-14 15:15:00,1836.1600341797,117.13333129883,114
2022-06-14 15:30:00,1730.7199707031,118.80000305176,114
2022-06-14 15:45:00,1823.8399658203,117.90000152588,120
2022-06-14 16:00:00,1799.3599853516,114.69999694824,118
2022-06-14 16:15:00,1730.4000244141,114.90000152588,125
2022-06-14 16:30:00,1723.1999511719,125.59999847412,121
2022-06-14 16:45:00,1621.9200439453,126.19999694824,111
2022-06-14 17:00:00,1700.8000488281,102.69999694824,114
2022-06-14 17:15:00,1616.9599609375,101.5,105
2022-06-14 17:30:00,1552.3199462891,100.59999847412,97
2022-06-14 17:45:00,1489.5999755859,100,104
2022-06-14 18:00:00,1457.1199951172,101.5,104
2022-06-14 18:15:00,1553.1199951172,82,79
2022-06-14 18:30:00,1585.1199951172,89.400001525879,94
2022-06-14 18:45:00,1537.7600097656,92.400001525879,86
2022-06-14 19:00:00,1560,89.900001525879,101
2022-06-14 19:15:00,1555.3599853516,82.199996948242,92
2022-06-14 19:30:00,1550.7199707031,101.59999847412,92
2022-06-14 19:45:00,1565.9200439453,103.30000305176,101
2022-06-14 20:00:00,1604.1600341797,97.199996948242,103
2022-06-14 20:15:00,1425.5999755859,94.400001525879,95
2022-06-14 20:30:00,1138.5600585938,96.900001525879,102
2022-06-14 20:45:00,1231.1999511719,79.5,86
2022-06-14 21:00:00,1386.2399902344,84,75
2022-06-14 21:15:00,1468,78.800003051758,80
2022-06-14 21:30:00,1493.1199951172,92.900001525879,77
2022-06-14 21:45:00,1466.2399902344,120,117
2022-06-14 22:00:00,1378.0799560547,103,126
2022-06-14 22:15:00,1440.8000488281,127.5,109
2022-06-14 22:30:00,1560.6400146484,105.09999847412,126
2022-06-14 22:45:00,1568.4799804688,93.900001525879,121
2022-06-14 23:00:00,1498.4000244141,130,116
2022-06-14 23:15:00,1153.7600097656,103.90000152588,118
2022-06-14 23:30:00,972,84.800003051758,96
2022-06-14 23:45:00,808,81.599998474121,79
2022-06-15 00:00:00,711.35998535156,60.299999237061,67
2022-06-15 00:15:00,682.23999023438,53.299999237061,58
2022-06-15 00:30:00,731.67999267578,45.400001525879,45
2022-06-15 00:45:00,789.59997558594,45.400001525879,46
2022-06-15 01:00:00,720,47,42
2022-06-15 01:15:00,750.23999023438,45.599998474121,49
