Timestamp,Electricity Power (kW)
2023-08-09 20:00:00,1607.5200195312
2023-08-09 21:00:00,1605.9200439453
2023-08-09 22:00:00,1501.5999755859
2023-08-09 23:00:00,1409.2800292969
2023-08-10 00:00:00,1094.2399902344
2023-08-10 01:00:00,642.40002441406
2023-08-10 02:00:00,679.84002685547
2023-08-10 03:00:00,706.08001708984
2023-08-10 04:00:00,706.55999755859
2023-08-10 05:00:00,888.96002197266
2023-08-10 06:00:00,1760.0
2023-08-10 07:00:00,1933.5999755859
2023-08-10 08:00:00,1808.6400146484
2023-08-10 09:00:00,1656.6400146484
2023-08-10 10:00:00,1944.0
2023-08-10 11:00:00,1937.7600097656
2023-08-10 12:00:00,1862.5600585938
2023-08-10 13:00:00,1946.2399902344
2023-08-10 14:00:00,1570.4000244141
2023-08-10 15:00:00,1773.9200439453
2023-08-10 16:00:00,1725.5999755859
2023-08-10 17:00:00,1788.8000488281
2023-08-10 18:00:00,1500.4799804688
2023-08-10 19:00:00,1555.5200195312
2023-08-10 20:00:00,1707.0400390625
2023-08-10 21:00:00,1535.3599853516
2023-08-10 22:00:00,1435.8399658203
2023-08-10 23:00:00,1470.5600585938
2023-08-11 00:00:00,1131.1999511719
2023-08-11 01:00:00,715.67999267578
2023-08-11 02:00:00,682.71997070312
2023-08-11 03:00:00,691.84002685547
2023-08-11 04:00:00,700.64001464844
2023-08-11 05:00:00,1252.8000488281
2023-08-11 06:00:00,1625.2800292969
2023-08-11 07:00:00,1786.8800048828
2023-08-11 08:00:00,1760.0
2023-08-11 09:00:00,1683.3599853516
2023-08-11 10:00:00,1837.4399414062
2023-08-11 11:00:00,1968.0
2023-08-11 12:00:00,1976.4799804688
2023-08-11 13:00:00,1910.7199707031
2023-08-11 14:00:00,1625.5999755859
2023-08-11 15:00:00,1930.0799560547
2023-08-11 16:00:00,1869.9200439453
2023-08-11 17:00:00,1736.1600341797
2023-08-11 18:00:00,1449.9200439453
2023-08-11 19:00:00,1671.5200195312
2023-08-11 20:00:00,1651.6800537109
2023-08-11 21:00:00,1620.3199462891
2023-08-11 22:00:00,1494.7199707031
2023-08-11 23:00:00,1508.9599609375
2023-08-12 00:00:00,897.91998291016
2023-08-12 01:00:00,718.88000488281
2023-08-12 02:00:00,629.59997558594
2023-08-12 03:00:00,693.76000976562
2023-08-12 04:00:00,641.28002929688
2023-08-12 05:00:00,691.67999267578
2023-08-12 06:00:00,747.84002685547
2023-08-12 07:00:00,646.08001708984
2023-08-12 08:00:00,586.55999755859
2023-08-12 09:00:00,658.08001708984
2023-08-12 10:00:00,654.23999023438
2023-08-12 11:00:00,652.15997314453
2023-08-12 12:00:00,777.76000976562
2023-08-12 13:00:00,724.15997314453
2023-08-12 14:00:00,681.91998291016
2023-08-12 15:00:00,655.67999267578
2023-08-12 16:00:00,667.84002685547
2023-08-12 17:00:00,742.71997070312
2023-08-12 18:00:00,682.08001708984
2023-08-12 19:00:00,679.35998535156
2023-08-12 20:00:00,665.11999511719
2023-08-12 21:00:00,654.40002441406
2023-08-12 22:00:00,620.0
2023-08-12 23:00:00,609.28002929688
2023-08-13 00:00:00,515.03997802734
2023-08-13 01:00:00,539.03997802734
2023-08-13 02:00:00,530.55999755859
2023-08-13 03:00:00,514.88000488281
2023-08-13 04:00:00,568.64001464844
2023-08-13 05:00:00,506.07998657227
2023-08-13 06:00:00,490.55999755859
2023-08-13 07:00:00,490.07998657227
2023-08-13 08:00:00,464.64001464844
2023-08-13 09:00:00,508.48001098633
2023-08-13 10:00:00,498.55999755859
2023-08-13 11:00:00,580.32000732422
2023-08-13 12:00:00,533.28002929688
2023-08-13 13:00:00,494.88000488281
2023-08-13 14:00:00,562.71997070312
2023-08-13 15:00:00,513.76000976562
2023-08-13 16:00:00,531.20001220703
2023-08-13 17:00:00,559.52001953125
2023-08-13 18:00:00,539.84002685547
2023-08-13 19:00:00,543.67999267578
2023-08-13 20:00:00,505.2799987793
2023-08-13 21:00:00,483.51998901367
2023-08-13 22:00:00,468.48001098633
2023-08-13 23:00:00,524.64001464844
2023-08-14 00:00:00,523.03997802734
2023-08-14 01:00:00,518.08001708984
2023-08-14 02:00:00,505.2799987793
2023-08-14 03:00:00,562.08001708984
2023-08-14 04:00:00,587.20001220703
2023-08-14 05:00:00,792.64001464844
2023-08-14 06:00:00,1419.1999511719
2023-08-14 07:00:00,1939.1999511719
2023-08-14 08:00:00,1885.4399414062
2023-08-14 09:00:00,1896.3199462891
2023-08-14 10:00:00,2148.0
2023-08-14 11:00:00,2109.2800292969
2023-08-14 12:00:00,1926.0799560547
2023-08-14 13:00:00,2167.8400878906
2023-08-14 14:00:00,1890.0799560547
2023-08-14 15:00:00,1952.4799804688
2023-08-14 16:00:00,1694.8800048828
2023-08-14 17:00:00,2004.9599609375
2023-08-14 18:00:00,1660.4799804688
2023-08-14 19:00:00,1794.7199707031
2023-08-14 20:00:00,1266.2399902344
2023-08-14 21:00:00,1654.7199707031
2023-08-14 22:00:00,1491.6800537109
2023-08-14 23:00:00,1437.5999755859
2023-08-15 00:00:00,739.35998535156
2023-08-15 01:00:00,754.23999023438
2023-08-15 02:00:00,716.15997314453
2023-08-15 03:00:00,709.28002929688
2023-08-15 04:00:00,672.47998046875
2023-08-15 05:00:00,765.44000244141
2023-08-15 06:00:00,629.44000244141
2023-08-15 07:00:00,629.11999511719
2023-08-15 08:00:00,579.20001220703
2023-08-15 09:00:00,672.96002197266
2023-08-15 10:00:00,625.91998291016
2023-08-15 11:00:00,661.28002929688
2023-08-15 12:00:00,757.76000976562
2023-08-15 13:00:00,681.11999511719
2023-08-15 14:00:00,724.79998779297
2023-08-15 15:00:00,737.11999511719
2023-08-15 16:00:00,757.44000244141
2023-08-15 17:00:00,720.0
2023-08-15 18:00:00,682.40002441406
2023-08-15 19:00:00,748.32000732422
2023-08-15 20:00:00,668.96002197266
2023-08-15 21:00:00,652.47998046875
2023-08-15 22:00:00,619.35998535156
2023-08-15 23:00:00,667.35998535156
2023-08-16 00:00:00,586.55999755859
2023-08-16 01:00:00,582.40002441406
2023-08-16 02:00:00,566.88000488281
2023-08-16 03:00:00,668.79998779297
2023-08-16 04:00:00,692.32000732422
2023-08-16 05:00:00,807.52001953125
2023-08-16 06:00:00,1430.2399902344
2023-08-16 07:00:00,1921.9200439453
2023-08-16 08:00:00,1910.0799560547
2023-08-16 09:00:00,1819.0400390625
2023-08-16 10:00:00,2024.0
2023-08-16 11:00:00,1958.0799560547
2023-08-16 12:00:00,1895.0400390625
2023-08-16 13:00:00,1897.7600097656
2023-08-16 14:00:00,1662.2399902344
2023-08-16 15:00:00,1845.1199951172
2023-08-16 16:00:00,1682.5600585938
2023-08-16 17:00:00,1826.2399902344
2023-08-16 18:00:00,1682.8800048828
2023-08-16 19:00:00,1695.3599853516
2023-08-16 20:00:00,1332.3199462891
2023-08-16 21:00:00,1732.1600341797
2023-08-16 22:00:00,1508.1600341797
2023-08-16 23:00:00,1569.4399414062
2023-08-17 00:00:00,729.76000976562
2023-08-17 01:00:00,767.03997802734
2023-08-17 02:00:00,735.35998535156
2023-08-17 03:00:00,778.71997070312
2023-08-17 04:00:00,803.67999267578
2023-08-17 05:00:00,967.35998535156
2023-08-17 06:00:00,1499.3599853516
2023-08-17 07:00:00,1859.8399658203
2023-08-17 08:00:00,1918.5600585938
2023-08-17 09:00:00,1601.2800292969
2023-08-17 10:00:00,2037.1199951172
2023-08-17 11:00:00,1813.2800292969
2023-08-17 12:00:00,1853.2800292969
2023-08-17 13:00:00,1861.7600097656
2023-08-17 14:00:00,1732.0
2023-08-17 15:00:00,1929.4399414062
2023-08-17 16:00:00,1745.2800292969
2023-08-17 17:00:00,1800.8000488281
2023-08-17 18:00:00,1661.9200439453
2023-08-17 19:00:00,1822.7199707031
2023-08-17 20:00:00,1208.9599609375
2023-08-17 21:00:00,1653.4399414062
2023-08-17 22:00:00,1463.1999511719
2023-08-17 23:00:00,1539.0400390625
2023-08-18 00:00:00,1240.4799804688
2023-08-18 01:00:00,779.20001220703
2023-08-18 02:00:00,776.15997314453
2023-08-18 03:00:00,767.35998535156
2023-08-18 04:00:00,756.64001464844
2023-08-18 05:00:00,1015.8400268555
2023-08-18 06:00:00,1547.6800537109
2023-08-18 07:00:00,1912.8000488281
2023-08-18 08:00:00,2015.8399658203
2023-08-18 09:00:00,1735.6800537109
2023-08-18 10:00:00,1983.1999511719
2023-08-18 11:00:00,2036.4799804687
2023-08-18 12:00:00,1788.6400146484
2023-08-18 13:00:00,1888.9599609375
2023-08-18 14:00:00,1709.7600097656
2023-08-18 15:00:00,1739.1999511719
2023-08-18 16:00:00,1837.2800292969
2023-08-18 17:00:00,1736.8000488281
2023-08-18 18:00:00,1606.5600585938
2023-08-18 19:00:00,1714.2399902344
2023-08-18 20:00:00,1334.5600585938
2023-08-18 21:00:00,1605.1199951172
2023-08-18 22:00:00,1402.0799560547
2023-08-18 23:00:00,1162.0799560547
2023-08-19 00:00:00,841.76000976562
2023-08-19 01:00:00,752.96002197266
2023-08-19 02:00:00,705.76000976562
2023-08-19 03:00:00,689.28002929688
2023-08-19 04:00:00,658.88000488281
2023-08-19 05:00:00,725.91998291016
2023-08-19 06:00:00,702.40002441406
2023-08-19 07:00:00,739.03997802734
2023-08-19 08:00:00,684.96002197266
2023-08-19 09:00:00,669.44000244141
2023-08-19 10:00:00,667.67999267578
2023-08-19 11:00:00,692.64001464844
2023-08-19 12:00:00,717.91998291016
2023-08-19 13:00:00,675.20001220703
2023-08-19 14:00:00,724.15997314453
2023-08-19 15:00:00,680.47998046875
2023-08-19 16:00:00,650.71997070312
2023-08-19 17:00:00,699.52001953125
2023-08-19 18:00:00,670.55999755859
2023-08-19 19:00:00,750.71997070312
2023-08-19 20:00:00,668.64001464844
2023-08-19 21:00:00,661.91998291016
2023-08-19 22:00:00,642.40002441406
2023-08-19 23:00:00,646.23999023438
2023-08-20 00:00:00,605.44000244141
2023-08-20 01:00:00,586.71997070312
2023-08-20 02:00:00,577.11999511719
2023-08-20 03:00:00,573.44000244141
2023-08-20 04:00:00,574.23999023438
2023-08-20 05:00:00,506.7200012207
2023-08-20 06:00:00,574.23999023438
2023-08-20 07:00:00,529.11999511719
2023-08-20 08:00:00,497.2799987793
2023-08-20 09:00:00,564.79998779297
2023-08-20 10:00:00,579.84002685547
2023-08-20 11:00:00,590.08001708984
2023-08-20 12:00:00,581.44000244141
2023-08-20 13:00:00,575.84002685547
2023-08-20 14:00:00,636.96002197266
2023-08-20 15:00:00,615.35998535156
2023-08-20 16:00:00,576.96002197266
2023-08-20 17:00:00,627.52001953125
2023-08-20 18:00:00,634.08001708984
2023-08-20 19:00:00,677.59997558594
2023-08-20 20:00:00,598.40002441406
2023-08-20 21:00:00,602.08001708984
2023-08-20 22:00:00,620.64001464844
2023-08-20 23:00:00,627.03997802734
2023-08-21 00:00:00,625.44000244141
2023-08-21 01:00:00,603.20001220703
2023-08-21 02:00:00,585.11999511719
2023-08-21 03:00:00,626.55999755859
2023-08-21 04:00:00,581.44000244141
2023-08-21 05:00:00,783.84002685547
2023-08-21 06:00:00,1423.8399658203
2023-08-21 07:00:00,1975.5200195312
2023-08-21 08:00:00,2052.6398925781
2023-08-21 09:00:00,1917.1199951172
2023-08-21 10:00:00,2114.8798828125
2023-08-21 11:00:00,2051.6799316406
2023-08-21 12:00:00,1999.6800537109
2023-08-21 13:00:00,2041.7600097656
2023-08-21 14:00:00,1896.3199462891
2023-08-21 15:00:00,1974.5600585938
2023-08-21 16:00:00,1880.6400146484
2023-08-21 17:00:00,1766.7199707031
2023-08-21 18:00:00,1607.1999511719
2023-08-21 19:00:00,1741.4399414062
2023-08-21 20:00:00,1425.2800292969
2023-08-21 21:00:00,1586.8800048828
2023-08-21 22:00:00,1500.9599609375
2023-08-21 23:00:00,1372.4799804688
2023-08-22 00:00:00,823.03997802734
2023-08-22 01:00:00,744.32000732422
2023-08-22 02:00:00,694.40002441406
2023-08-22 03:00:00,693.28002929688
2023-08-22 04:00:00,721.28002929688
2023-08-22 05:00:00,926.40002441406
2023-08-22 06:00:00,1349.7600097656
2023-08-22 07:00:00,2038.0799560547
2023-08-22 08:00:00,2007.8399658203
2023-08-22 09:00:00,1238.8800048828
2023-08-22 10:00:00,2101.4399414062
2023-08-22 11:00:00,2081.6000976562
2023-08-22 12:00:00,1957.1199951172
2023-08-22 13:00:00,1938.4000244141
2023-08-22 14:00:00,1701.5999755859
2023-08-22 15:00:00,1848.6400146484
2023-08-22 16:00:00,1781.4399414062
2023-08-22 17:00:00,1745.1199951172
2023-08-22 18:00:00,1549.5999755859
2023-08-22 19:00:00,1715.0400390625
2023-08-22 20:00:00,1613.9200439453
2023-08-22 21:00:00,1544.3199462891
2023-08-22 22:00:00,1467.3599853516
2023-08-22 23:00:00,1529.2800292969
2023-08-23 00:00:00,1213.4399414062
2023-08-23 01:00:00,773.44000244141
2023-08-23 02:00:00,699.03997802734
2023-08-23 03:00:00,733.59997558594
2023-08-23 04:00:00,704.32000732422
2023-08-23 05:00:00,913.76000976562
2023-08-23 06:00:00,1627.5200195312
2023-08-23 07:00:00,1999.5200195312
2023-08-23 08:00:00,2044.3199462891
2023-08-23 09:00:00,2026.2399902344
